LP_M1_RATE_AMT_3M                  	float64             	RADD                
LP_M2_GE_RATE_AMT_3M               	float64             	RADD                
MP_FPD_RATE_CNT_1M                 	float64             	RADD                
MP_M1_RATE_CNT_1M                  	float64             	RADD                
MP_M2_GE_RATE_CNT_1M               	float64             	RADD                
MP_FPD_RATE_AMT_1M                 	float64             	RADD                
MP_M1_RATE_AMT_1M                  	float64             	RADD                
MP_M2_GE_RATE_AMT_1M               	float64             	RADD                
MP_FPD_RATE_CNT_3M                 	float64             	RADD                
MP_M1_RATE_CNT_3M                  	float64             	RADD                
MP_M2_GE_RATE_CNT_3M               	float64             	RADD                
MP_FPD_RATE_AMT_3M                 	float64             	RADD                
MP_M1_RATE_AMT_3M                  	float64             	RADD                
MP_M2_GE_RATE_AMT_3M               	float64             	RADD                
COLLECTION_SCORE_201502            	float64             	Base                
